max,min,mean,sd,rms,skewness,kurtosis,crest,form,fault
-0.770061964722982,0.7065179791670532,0.32930540911757616,-0.7170587617781523,-0.7162770867933086,-0.42227693746639405,-0.6137367308900126,-1.107207281964767,-0.6709474460346307,Ball_007_1
-0.7017130453055413,0.7425835884746145,1.0118842654882028,-0.685141335560114,-0.6824596091792138,1.2003775088109427,-0.6226544447039457,-0.6016862587208304,-0.7023018128177444,Ball_007_1
-0.7011870894079291,0.6945418752976624,0.7359506431879242,-0.6289098734377656,-0.6276742215347603,0.4569680083728163,-0.6663087317880894,-0.9322459270259709,-0.6563576419316376,Ball_007_1
-0.6275532637421901,0.6290508726893308,0.8116307353524852,-0.604608908107927,-0.6033461329123682,0.10504301451288243,-0.5736219730052129,-0.41985317875038314,-0.6501439336205249,Ball_007_1
-0.7149379845623743,0.6066588660799641,0.9983613859321866,-0.6664631390166322,-0.6640510382403961,-0.21734957640577898,-0.5128322506840631,-0.8532085880932848,-0.6928206237510998,Ball_007_1
-0.7210149930661129,0.6906351316696067,0.8363007709400079,-0.6645805920829152,-0.6627199115757224,-0.49286379532324454,-0.6423839687257059,-0.920774012912105,-0.6814365630430467,Ball_007_1
-0.7107049901093009,0.6613407952637073,0.8896083251202918,-0.6655700308163215,-0.6635273351032965,-0.3979512489609134,-0.5343001834920275,-0.8148425985558225,-0.6854835669146706,Ball_007_1
-0.7195638617341462,0.6856861736871017,0.7962411655138303,-0.6273716042556134,-0.6259736273121785,0.11229484158636564,-0.6659071822472324,-1.108187463739039,-0.6602284836184137,Ball_007_1
-0.686118136100431,0.7356812586780817,0.7009568041549732,-0.6429643063218285,-0.6417160486123011,0.6441736496579776,-0.6998099870669953,-0.7122663638213528,-0.6607719780461643,Ball_007_1
-0.7626605612481471,0.6616029090534491,0.37013316548725544,-0.6723471855093074,-0.6718146379368287,-0.5200240410739885,-0.6263597903854699,-1.2822278152880133,-0.6487908301255357,Ball_007_1
-0.7524772946522054,0.7509150625056915,0.3106474676018146,-0.705248119074404,-0.7046260301448469,-0.06870567493685256,-0.6835469439866008,-0.9880777978683379,-0.6624652758871653,Ball_007_1
-0.6964281390572432,0.7135513658584569,0.3040293068645597,-0.6722183345799928,-0.6718691809747108,0.4446155872057358,-0.5654290523404996,-0.6200440546191326,-0.6425309813603457,Ball_007_1
-0.6924612909619976,0.6826905875186247,0.21645398290279036,-0.6544845805842379,-0.6544806183835726,0.550007653475006,-0.610289724057423,-0.6937151629273527,-0.6231072512907513,Ball_007_1
-0.7424334380532213,0.7222697697696288,0.4153806969795064,-0.7008822408775057,-0.6999851754173884,0.17394056213772735,-0.5619816666581071,-0.9100590444496011,-0.6689081502710086,Ball_007_1
-0.6959021831596307,0.7286478719866781,0.3534584377164195,-0.6721932522660068,-0.6717082688564937,0.209665581060213,-0.626813709199601,-0.6158642236499701,-0.6471701726446024,Ball_007_1
